OBJECT_NAME,OBJECT_ID
INTELSAT 1002,2004-022A
APSTAR 5 (TELSTAR 18),2004-024A
ANIK F2,2004-027A
GSAT 3 (EDUSAT),2004-036A
AMC-15,2004-041A
EXPRESS AM-1,2004-043A
AMC-16,2004-048A
NSS 10 (AMC-12),2005-003A
XTAR-EUR,2005-005A
XM-3,2005-008A
INMARSAT 4-F1,2005-009A
EXPRESS AM-2,2005-010A
DIRECTV 8,2005-019A
GALAXY 28 (IA 8),2005-022A
EXPRESS AM-3,2005-023A
IPSTAR 1,2005-028A
GALAXY 14,2005-030A
ANIK F1-R,2005-036A
GALAXY 15,2005-041A
SYRACUSE 3A,2005-041B
INMARSAT 4-F2,2005-044A
TELKOM 2,2005-046A
SPACEWAY 2,2005-046B
INSAT 4A,2005-049A
METEOSAT 9 (MSG 2),2005-049B
EUTE 172A (GE 23),2005-052A
ECHOSTAR 10,2006-003A
HIMAWARI 7,2006-004A
SPAINSAT,2006-007A
EUTELSAT HOTBIRD 13E,2006-007B
JCSAT 9,2006-010A
ASTRA 1KR,2006-012A
GOES 13,2006-018A
EUTE 113 WEST A(SATMEX 6,2006-020A
THAICOM 5,2006-020B
KAZSAT 1,2006-022A
GALAXY 16,2006-023A
EUTE HOT BIRD 13B (HB 8),2006-032A
JCSAT 10,2006-033A
SYRACUSE 3B,2006-033B
KOREASAT 5,2006-034A
CHINASAT 22A,2006-038A
DIRECTV 9S,2006-043A
OPTUS D1,2006-043B
XM-4,2006-049A
ARABSAT 4B,2006-051A
WILDBLUE 1,2006-054A
AMC-18,2006-054B
MEASAT 3,2006-056A
ETS 8,2006-059A
BEIDOU 1D,2007-003A
INSAT 4B,2007-007A
SKYNET 5A,2007-007B
ANIK F3,2007-009A
ASTRA 1L,2007-016A
GALAXY 17,2007-016B
NIGCOMSAT 1,2007-018A
CHINASAT 6B,2007-031A
DIRECTV 10,2007-032A
SPACEWAY 3,2007-036A
BSAT-3A,2007-036B
INSAT 4CR,2007-037A
OPTUS D2,2007-044A
INTELSAT 11 (PAS 11),2007-044B
WGS F1 (USA 195),2007-046A
STAR ONE C1,2007-056A
SKYNET 5B,2007-056B
ASTRA 4A (SIRIUS 4),2007-057A
RADUGA 1M-1,2007-058A
RASCOM 1,2007-063A
HORIZONS 2,2007-063B
THURAYA 3,2008-001A
EXPRESS AM-33,2008-003A
THOR 5,2008-006A
WINDS (KIZUNA),2008-007A
AMC-14,2008-011A
DIRECTV 11,2008-013A
ICO G-1,2008-016A
VINASAT 1,2008-018A
STAR ONE C2,2008-018B
AMOS 3,2008-022A
GALAXY 18,2008-024A
CHINASAT 9,2008-028A
SKYNET 5C,2008-030A
TURKSAT 3A,2008-030B
COSMOS 2440,2008-033A
INTELSAT 25(PROTOSTAR 1),2008-034A
BADR 6,2008-034B
ECHOSTAR 11,2008-035A
SUPERBIRD 7,2008-038A
AMC-21,2008-038B
INMARSAT 4-F3,2008-039A
NIMIQ 4,2008-044A
GALAXY 19,2008-045A
VENESAT-1,2008-055A
ASTRA 1M,2008-057A
CIEL-2,2008-063A
EUTE HOT BIRD 13C (HB 9),2008-065A
EUTE 28B (EUTE W2M),2008-065B
FENGYUN 2E,2008-066A
EXPRESS AM-44,2009-007A
EXPRESS MD1,2009-007B
NSS 9,2009-008A
EUTE 33E,2009-008B
TELSTAR 11N,2009-009A
RADUGA 1-8,2009-010A
EUTE 10A (EUTE W2A),2009-016A
WGS F2 (USA 204),2009-017A
SES 7 (PROTOSTAR 2),2009-027A
MEASAT 3A,2009-032A
GOES 14,2009-033A
SIRIUS FM-5,2009-034A
TERRESTAR 1,2009-035A
ASIASAT 5,2009-042A
JCSAT 12,2009-044A
OPTUS D3,2009-044B
NIMIQ 5,2009-050A
AMAZONAS 2,2009-054A
COMSATBW-1,2009-054B
NSS 12,2009-058A
THOR 6,2009-058B
INTELSAT 14,2009-064A
EUTE 36B (EUTE W7),2009-065A
INTELSAT 15,2009-067A
WGS F3 (USA 211),2009-068A
DIRECTV 12,2009-075A
BEIDOU 3,2010-001A
RADUGA 1M-2,2010-002A
SDO,2010-005A
INTELSAT 16,2010-006A
GOES 15,2010-008A
ECHOSTAR 14,2010-010A
SES 1,2010-016A
ASTRA 3B,2010-021A
COMSATBW-2,2010-021B
BEIDOU 4,2010-024A
BADR-5 (ARABSAT 5B),2010-025A
COMS 1,2010-032A
ARABSAT 5A,2010-032B
ECHOSTAR 15,2010-034A
BEIDOU 5,2010-036A
NILESAT 201,2010-037A
RASCOM QAF 1R,2010-037B
AEHF 1 (USA 214),2010-039A
CHINASAT 6A,2010-042A
XM-5,2010-053A
BSAT-3B,2010-056B
BEIDOU 6,2010-057A
SKYTERRA 1,2010-061A
CHINASAT 20A,2010-064A
INTELSAT 17,2010-065B
BEIDOU 7,2010-068A
EUTE KA SAT 9A (KA SAT),2010-069A
HISPASAT 30W-5,2010-070A
KOREASAT 6,2010-070B
ELEKTRO-L,2011-001A
BEIDOU 8,2011-013A
INTELSAT NEW DAWN,2011-016A
YAHSAT 1A,2011-016B
SBIRS GEO 1 (USA 230),2011-019A
TELSTAR 14R,2011-021A
GSAT 8,2011-022A
ST 2,2011-022B
CHINASAT 10,2011-026A
TIANLIAN 1-02,2011-032A
GSAT 12,2011-034A
SES 3,2011-035A
KAZSAT 2,2011-035B
BEIDOU 9,2011-038A
ASTRA 1N,2011-041A
BSAT-3C,2011-041B
PAKSAT 1R,2011-042A
CHINASAT 1A,2011-047A
COSMOS 2473,2011-048A
SES 2,2011-049A
ARABSAT 5C,2011-049B
EUTE 7 WEST A (AB 7),2011-051A
QUETZSAT 1,2011-054A
INTELSAT 18,2011-056A
EUTE 16A (EUTE W3C),2011-057A
VIASAT 1,2011-059A
ASIASAT 7,2011-069A
BEIDOU 10,2011-073A
AMOS 5,2011-074A
LUCH 5A,2011-074B
NIGCOMSAT 1R,2011-077A
FENGYUN 2F,2012-002A
WGS F4 (USA 233),2012-003A
SES 4,2012-007A
BEIDOU 11,2012-008A
MUOS 1,2012-009A
INTELSAT 22,2012-011A
COSMOS 2479,2012-012A
APSTAR 7,2012-013A
YAHSAT 1B,2012-016A
AEHF 2 (USA 235),2012-019A
JCSAT 13,2012-023A
VINASAT 2,2012-023B
NIMIQ 6,2012-026A
CHINASAT 2A,2012-028A
INTELSAT 19,2012-030A
ECHOSTAR 17,2012-035A
METEOSAT 10 (MSG 3),2012-035B
SES 5,2012-036A
TIANLIAN 1-03,2012-040A
INTELSAT 20,2012-043A
HYLAS 2,2012-043B
INTELSAT 21,2012-045A
ASTRA 2F,2012-051A
GSAT 10,2012-051B
INTELSAT 23,2012-057A
BEIDOU 16,2012-059A
LUCH 5B,2012-061A
YAMAL 300K,2012-061B
STARONE C3,2012-062A
EUTE 21B,2012-062B
ECHOSTAR 16,2012-065A
CHINASAT 12,2012-067A
EUTE 70B,2012-069A
YAMAL 402,2012-070A
SKYNET 5D,2012-075A
MEXSAT 3,2012-075B
TDRS 11,2013-004A
AMAZONAS 3,2013-006A
AZERSPACE 1,2013-006B
SBIRS GEO 2 (USA 241),2013-011A
EUTE 117 WEST A(SATMEX 8,2013-012A
ANIK G1,2013-014A
CHINASAT 11,2013-020A
EUTE 7B (EUTE 3D),2013-022A
WGS 5 (USA 243),2013-024A
SES 6,2013-026A
IRNSS R1A,2013-034A
MUOS 2,2013-036A
ALPHASAT (I-4A F4),2013-038A
INSAT 3D,2013-038B
WGS 6 (USA 244),2013-041A
ES'HAIL 1,2013-044A
GSAT 7,2013-044B
AMOS 4,2013-045A
AEHF 3 (USA 246),2013-050A
ASTRA 2E,2013-056A
SIRIUS FM-6,2013-058A
RADUGA 1M-3,2013-062A
SES 8,2013-071A
INMARSAT 5-F1,2013-073A
TKSAT 1,2013-075A
EXPRESS AM-5,2013-077A
GSAT 14,2014-001A
THAICOM 6,2014-002A
TDRS 12,2014-004A
ABS 2,2014-006A
ATHENA-FIDUS,2014-006B
TURKSAT 4A,2014-007A
EXPRESS AT1,2014-010A
EXPRESS AT2,2014-010B
AMAZONAS 4A,2014-011A
ASTRA 5B,2014-011B
IRNSS 1B,2014-017A
LUCH 5V,2014-023A
KAZSAT 3,2014-023B
EUTE 3B,2014-030A
USA 254,2014-043B
ASIASAT 8,2014-046A
ASIASAT 6,2014-052A
OPTUS 10,2014-054A
MEASAT 3B,2014-054B
LUCH (OLYMP),2014-058A
HIMAWARI 8,2014-060A
IRNSS 1C,2014-061A
INTELSAT 30,2014-062A
ARSAT 1,2014-062B
EXPRESS AM-6,2014-064A
GSAT 16,2014-078A
DIRECTV 14,2014-078B
YAMAL 401,2014-082A
ASTRA 2G,2014-089A
FENGYUN 2G,2014-090A
MUOS 3,2015-002A
INMARSAT 5-F2,2015-005A
ABS 3A,2015-010A
EUTE 115 WEST B(SATMEX 7,2015-010B
EXPRESS AM-7,2015-012A
IRNSS 1D,2015-018A
BD-17,2015-019A
THOR 7,2015-022A
TURKMENALEM 52E/MONACOSA,2015-023A
DIRECTV 15,2015-026A
SKY MEXICO-1,2015-026B
METEOSAT 11 (MSG 4),2015-034A
STARONE C4,2015-034B
WGS 7 (USA 263),2015-036A
INTELSAT 34,2015-039A
EUTE 8 WEST B,2015-039B
GSAT 6,2015-041A
INMARSAT 5-F3,2015-042A
MUOS 4,2015-044A
TJS-1,2015-046A
EXPRESS AM-8,2015-048A
BD-20,2015-053A
SKY MUSTER,2015-054A
ARSAT 2,2015-054B
MORELOS 3,2015-056A
APSTAR 9,2015-059A
TURKSAT 4B,2015-060A
CHINASAT 2C,2015-063A
GSAT 15,2015-065A
BADR 7,2015-065B
LAOSAT 1,2015-067A
TELSTAR 12V,2015-068A
CHINASAT 1C,2015-073A
ELEKTRO-L 2,2015-074A
COSMOS 2513,2015-075A
EXPRESS AMU1,2015-082A
GAOFEN 4,2015-083A
BELINTERSAT 1,2016-001A
IRNSS-1E,2016-003A
INTELSAT 29E,2016-004A
EUTE 9B,2016-005A
SES 9,2016-013A
EUTE 65W,2016-014A
IRNSS 1F,2016-015A
BEIDOU IGSO-6,2016-021A
IRNSS 1G,2016-027A
JCSAT 2B,2016-028A
THAICOM 8,2016-031A
INTELSAT 31,2016-035A
BD-2-G7,2016-037A
ABS 2A,2016-038A
EUTE 117W B,2016-038B
BRISAT,2016-039A
ECHOSTAR 18,2016-039B
TIANTONG-1 1,2016-048A
JCSAT 16,2016-050A
USA 270,2016-052A
USA 271,2016-052B
INTELSAT 36,2016-053A
INTELSAT 33E,2016-053B
INSAT 3DR,2016-054A
GSAT 18,2016-060A
SKY MUSTER 2,2016-060B
HIMAWARI 9,2016-064A
SJ-17,2016-065A
GOES 16,2016-071A
TIANLIAN 1-04,2016-072A
WGS 8 (USA 272),2016-075A
FENGYUN 4A,2016-077A
ECHOSTAR 19,2016-079A
JCSAT 15,2016-082A
STARONE D1,2016-082B
TJS-2,2017-001A
SBIRS GEO 4 (USA 273),2017-004A
HISPASAT 36W-1,2017-006A
TELKOM 3S,2017-007A
INTELSAT 32E,2017-007B
ECHOSTAR 23,2017-014A
WGS 9 (USA 275),2017-016A
SES 10,2017-017A
CHINASAT 16,2017-018A
KOREASAT 7,2017-023A
SGDC,2017-023B
GSAT 9,2017-024A
INMARSAT 5-F4,2017-025A
SES 15,2017-026A
VIASAT 2,2017-029A
EUTE 172B,2017-029B
GSAT 19,2017-031A
ECHOSTAR 21,2017-032A
CHINASAT 9A,2017-035A
BULGARIASAT-1,2017-038A
HELLAS-SAT 3,2017-040A
GSAT 17,2017-040B
INTELSAT 35E,2017-041A
COSMOS 2520,2017-046A
TDRS 13,2017-047A
QZS-3,2017-048A
AMAZONAS 5,2017-053A
ASIASAT 9,2017-057A
INTELSAT 37E,2017-059A
BSAT-4A,2017-059B
ECHOSTAR 105/SES 11,2017-063A
KOREASAT 5A,2017-067A
ALCOMSAT 1,2017-078A
ANGOSAT 1,2017-086A
SBIRS GEO 3 (USA 282),2018-009A
AL YAH 3,2018-012A
SES 14,2018-012B
GOES 17,2018-022A
HISPASAT 30W-6,2018-023A
SUPERBIRD 8,2018-033A
HYLAS 4,2018-033B
IRNSS 1I,2018-035A
USA 283,2018-036A
COSMOS 2526,2018-037A
APSTAR 6C,2018-041A
BANGABANDHUSAT-1,2018-044A
SES 12,2018-049A
FENGYUN 2H,2018-050A
BEIDOU IGSO-7,2018-057A
TELSTAR 19V,2018-059A
TELKOM-4,2018-064A
TELSTAR 18V,2018-069A
AZERSPACE 2/INTELSAT 38,2018-074A
HORIZONS 3E,2018-074B
AEHF 4 (USA 288),2018-079A
BEIDOU 3G1,2018-085A
GSAT 29,2018-089A
ES'HAIL 2,2018-090A
GEO-KOMPSAT-2A,2018-100A
GSAT 11,2018-100B
GSAT 7A,2018-105A
COSMOS 2533,2018-107A
TJS-3,2018-110A
CHINASAT 2D,2019-001A
SAUDIGEOSAT1/HELLASSAT4,2019-007A
GSAT 31,2019-007B
NUSANTARA SATU,2019-009A
S5,2019-009D
CHINASAT 6C,2019-012A
WGS 10 (USA 291),2019-014A
TIANLIAN 2-01,2019-017A
ARABSAT 6A,2019-021A
BEIDOU 3 IGSO-1,2019-023A
BEIDOU 2 G8,2019-027A
YAMAL 601,2019-031A
ATT T-16,2019-034A
EUTE 7C,2019-034B
BEIDOU 3 IGSO-2,2019-035A
COSMOS 2539,2019-048A
EDRS-C,2019-049A
INTELSAT 39,2019-049B
AMOS 17,2019-050A
AEHF 5 (USA 292),2019-051A
EUTE 5W B,2019-067A
MEV-1,2019-067B
TJS-4,2019-070A
BEIDOU 3 IGSO-3,2019-073A
TIBA-1,2019-080A
INMARSAT GX5,2019-080B
JCSAT 18,2019-091A
ELEKTRO-L 3,2019-095A
SJ-20,2019-097A
TJS-5,2020-002A
GSAT 30,2020-005A
EUTE KONNECT,2020-005B
JCSAT 17,2020-013A
GEO-KOMPSAT-2B,2020-013B
BEIDOU 3 G2,2020-017A
AEHF 6 (USA 298),2020-022B
BEIDOU 3 G3,2020-040A
APSTAR 6D,2020-045A
KOREASAT 116,2020-048A
EXPRESS 103,2020-053A
EXPRESS 80,2020-053B
BSAT-4B,2020-056A
MEV-2,2020-056B
GALAXY 30,2020-056C
GAOFEN 13,2020-071A
TIANTONG-1 2,2020-082A
LUCAS (JDRS-1),2020-089A
XM-7,2020-096A
CMS-01,2020-099A
TURKSAT 5A,2021-001A
TIANTONG-1 3,2021-003A
TJS-6,2021-010A
SHIYAN 9 (SY-9),2021-019A
SBIRS GEO 5 (USA 315),2021-042A
FENGYUN 4B,2021-047A
XM-8,2021-049A
TIANLIAN 1-O5,2021-063A
STARONE D2,2021-069A
EUTELSAT QUANTUM,2021-069B
CHINASAT 2E,2021-071A
TJS-7,2021-077A
CHINASAT 9B,2021-080A
SES 17,2021-095A
SYRACUSE 4A,2021-095B
CHINASAT 1D,2021-114A
STPSAT-6,2021-118A
EXPRESS AMU-7,2021-123A
EXPRESS AMU-3,2021-123B
TIANLIAN 2-02,2021-124A
TURKSAT 5B,2021-126A
INMARSAT 6-F1,2021-128A
SHIYAN 12 01 (SY-12 01),2021-129A
SHIYAN 12 02 (SY-12 02),2021-129B
TJS-9,2021-135A
USA 324,2022-006A
USA 325,2022-006B
GOES 18,2022-021A
CHINASAT 6D,2022-038A
NILESAT 301,2022-061A
CMS-02,2022-067A
MEASAT 3D,2022-067B
SES-22,2022-071A
WFOV (USA 332),2022-073A
TIANLIAN-2 03,2022-078A
SBIRS-GEO 6 (USA 336),2022-092A
CHINASAT 1E,2022-112A
SES 20,2022-123A
SES 21,2022-123B
